Date,Currency_code,Country,Local_price,Dollar_price
2006-05-01,AUD,Australia,3.25,2.438969479
2006-05-01,BRL,Brazil,6.4,2.777175092
2006-05-01,CAD,Canada,3.52,3.141594895
2006-05-01,CHF,Switzerland,6.3,5.21156471
2006-05-01,CLP,Chile,1560,2.943673932
2006-05-01,CNY,China,10.5,1.308248193
2006-05-01,COP,Colombia,6500,2.596261384
2006-05-01,CRC,Costa Rica,1130,2.217708303
2006-05-01,CZK,Czech Republic,59.05,2.671002994
2006-05-01,DKK,Denmark,27.75,4.769475358
2006-05-01,EGP,Egypt,9.5,1.646233159
2006-05-01,EUR,Euro area,2.939573529,3.766916497
2006-05-01,GBP,Britain,1.94,3.647976002
2006-05-01,HKD,Hong Kong,12,1.547728064
2006-05-01,HUF,Hungary,560,2.713909367
2006-05-01,IDR,Indonesia,14600,1.565683646
2006-05-01,JPY,Japan,250,2.230052183
2006-05-01,KRW,South Korea,2500,2.624947501
2006-05-01,LKR,Sri Lanka,190,1.845466466
2006-05-01,MXN,Mexico,29,2.565667826
2006-05-01,MYR,Malaysia,5.5,1.515360242
2006-05-01,NOK,Norway,43,7.046523442
2006-05-01,NZD,New Zealand,4.45,2.745202065
2006-05-01,PKR,Pakistan,130,2.164682374
2006-05-01,PEN,Peru,9.5,2.913216805
2006-05-01,PHP,Philippines,85,1.6152019
2006-05-01,PLN,Poland,6.5,2.097349273
2006-05-01,RUB,Russia,48,1.773590134
2006-05-01,SAR,Saudi Arabia,9,2.400640171
2006-05-01,SGD,Singapore,3.6,2.268002268
2006-05-01,SEK,Sweden,33,4.530135698
2006-05-01,THB,Thailand,60,1.560671089
2006-05-01,TRY,Turkey,4.2,2.724618878
2006-05-01,TWD,Taiwan,75,2.333468156
2006-05-01,UAH,Ukraine,8.5,1.683168317
2006-05-01,UYU,Uruguay,42.28,1.767189133
2006-05-01,USD,United States,3.1,3.1
2006-05-01,ZAR,South Africa,13.95,2.114597544
2007-01-01,AED,UAE,10,2.722866634
2007-01-01,ARS,Argentina,8.25,2.670983408
2007-01-01,AUD,Australia,3.45,2.723257806
2007-01-01,BRL,Brazil,6.4,2.999765643
2007-01-01,CAD,Canada,3.63,3.089756139
2007-01-01,CHF,Switzerland,6.3,5.046055266
2007-01-01,CLP,Chile,1670,3.091733778
2007-01-01,CNY,China,11,1.414918385
2007-01-01,COP,Colombia,6900,3.081285655
2007-01-01,CRC,Costa Rica,1130,2.217708303
2007-01-01,CZK,Czech Republic,52.1,2.423126205
2007-01-01,DKK,Denmark,27.75,4.823528389
2007-01-01,EGP,Egypt,9.09,1.594736842
2007-01-01,EUR,Euro area,2.94,3.809210998
2007-01-01,GBP,Britain,1.94,3.833731
2007-01-01,HKD,Hong Kong,12,1.538767319
2007-01-01,HUF,Hungary,590,3.034609464
2007-01-01,IDR,Indonesia,15900,1.749174917
2007-01-01,JPY,Japan,280,2.302915656
2007-01-01,KRW,South Korea,2900,3.084614157
2007-01-01,LKR,Sri Lanka,190,1.845466466
2007-01-01,MXN,Mexico,29,2.663140302
2007-01-01,MYR,Malaysia,5.5,1.570531125
2007-01-01,NOK,Norway,41.5,6.800714485
