Date,Open,High,Low,Close,Volume,Adj_Close
2013-04-03,156.9100037,157.0299988,154.8200073,155.2299957,154167400,125.1954727
2013-04-04,155.4299927,156.1699982,155.0899963,155.8600006,131885000,125.7035751
2013-04-05,153.9499969,155.3500061,153.7700043,155.1600037,159666000,125.1390762
2013-04-08,155.2700043,156.2200012,154.75,156.2100067,86571200,125.9859238
2013-04-09,156.5,157.3200073,155.9799957,156.75,101922200,126.4214554
2013-04-10,157.1699982,158.8699951,157.1300049,158.6699982,135711100,127.9699326
2013-04-11,158.6999969,159.7100067,158.5399933,159.1900024,110142500,128.3893433
2013-04-12,158.6799927,159.0399933,157.9199982,158.8000031,116359900,128.0747986
2013-04-15,158,158.1300049,155.1000061,155.1199951,217259000,125.1067963
2013-04-16,156.2899933,157.4900055,155.9100037,157.4100037,147507800,126.9537201
2013-04-17,156.2899933,156.3200073,154.2799988,155.1100006,226834800,125.098732
2013-04-18,155.3699951,155.4100037,153.5500031,154.1399994,167583200,124.316391
2013-04-19,154.5,155.5500031,154.1199951,155.4799957,149687600,125.3971252
2013-04-22,155.7799988,156.5399933,154.75,156.1699982,106553500,125.9536285
2013-04-23,156.9499969,157.9299927,156.1699982,157.7799988,166141300,127.2521057
2013-04-24,157.8300018,158.3000031,157.5399933,157.8800049,96781200,127.3327713
2013-04-25,158.3399963,159.2700043,158.1000061,158.5200043,131060600,127.8489151
2013-04-26,158.3300018,158.6000061,157.7299957,158.2400055,95918800,127.623085
2013-04-29,158.6699982,159.6499939,158.4199982,159.3000031,88572800,128.4780121
2013-04-30,159.2700043,159.7200012,158.6100006,159.6799927,116010700,128.7844391
2013-05-01,159.3300018,159.4100037,158.1000061,158.2799988,138874200,127.6553345
2013-05-02,158.6799927,159.8899994,158.5299988,159.75,96407600,128.8409424
2013-05-03,161.1399994,161.8800049,159.7799988,161.3699951,144202300,130.147522
2013-05-06,161.4900055,162.0099945,161.4199982,161.7799988,66882100,130.4781494
2013-05-07,162.1300049,162.6499939,161.6699982,162.6000061,90359200,131.1395264
2013-05-08,162.4199982,163.3899994,162.3300018,163.3399963,97419200,131.7363892
2013-05-09,163.2700043,163.6999969,162.4700012,162.8800049,106738600,131.3653564
2013-05-10,162.9900055,163.5500031,162.5099945,163.4100037,103203000,131.7927551
2013-05-13,163.1999969,163.8099976,162.8200073,163.5399933,81843200,131.897644
2013-05-14,163.6699982,165.3500061,163.6699982,165.2299957,119000900,133.2606201
2013-05-15,164.9600067,166.4499969,164.9100037,166.1199951,120718500,133.9784393
2013-05-16,165.7799988,166.3600006,165.0899963,165.3399963,109913600,133.3493652
2013-05-17,165.9499969,167.0399933,165.7299957,166.9400024,129801000,134.6397552
2013-05-20,166.7799988,167.5800018,166.6100006,166.9299927,85071200,134.6317444
2013-05-21,167.0800018,167.8000031,166.5,167.1699982,95804200,134.8252716
2013-05-22,167.3399963,169.0700073,165.1699982,165.9299927,244031800,133.8251801
