Rank,Company,Ticker,Sector,Industry,Number_of_employees,Revenues_M,Profits_M,Assets_M,MarketCap_M
854,Steelcase,SCS,Household Products,"Home Equipment, Furnishings",12250,3232.6,35.3,2202.8,1494
855,Sun Communities,SUI,Financials,Real estate,6757,3224.6,-213.3,16940.7,15997
856,AdaptHealth,AHCO,Health Care,Wholesalers: Health Care,10700,3200.2,-678.9,4508.7,1530
857,Vertex Energy,VTNR,Energy,Petroleum Refining,481,3184.6,-71.5,854.6,131
858,Genesis Energy,GEL,Energy,Pipelines,2137,3177,117.7,7018.8,1362
859,Jackson Financial,JXN,Financials,"Insurance: Life, Health (stock)",3428,3159,934,330255,5120
860,FirstCash Holdings,FCFS,Retailing,Specialty Retailers: Other,19000,3151.8,219.3,4289.9,5753
861,Cal-Maine Foods,CALM,"Food, Beverages & Tobacco",Food Production,2896,3146.2,758,1954.5,2883
862,Arch Resources,ARCH,Energy,"Mining, Crude-Oil Production",3404,3145.8,464,2484.2,2934
863,Avient,AVNT,Chemicals,Chemicals,9300,3142.8,75.7,5968.5,3961
864,Cano Health,,Health Care,Health Care: Medical Facilities,2700,3137.8,-594.4,1013.7,1
865,BlueLinx Holdings,BXC,Wholesalers,Wholesalers: Diversified,1990,3136.4,48.5,1537.6,1127
866,Sinclair,SBGI,Media,Entertainment,7300,3134,-291,6085,857
867,BOK Financial,BOKF,Financials,Commercial Banks,4966,3132.4,530.7,49824.8,5946
868,Permian Resources,PR,Energy,"Mining, Crude-Oil Production",461,3120.9,476.3,14965.6,13631
869,PACS Group,PACS,Health Care,Health Care: Medical Facilities,32433,3111.5,112.9,3512.7,
870,Coinbase Global,COIN,Financials,Securities,3416,3108.4,94.9,206983,64232
871,Western Midstream Partners,WES,Energy,Pipelines,1377,3106.5,1022.2,12471.6,13526
872,Federated Mutual Insurance,,Financials,Insurance: Property and Casualty (Mutual),2922,3098.7,422.8,12190,
873,G-III Apparel Group,GIII,Apparel,Apparel,4050,3098.2,176.2,2681.2,1318
874,Vontier,VNT,Technology,"Electronics, Electrical Equip.",8000,3095.2,376.9,4294,6981
875,Matson,MATX,Transportation,Shipping,4315,3094.6,297.1,4294.6,3876
876,Kirby,KEX,Transportation,Shipping,5450,3091.6,222.9,5722.2,5574
877,Kaiser Aluminum,KALU,Materials,Metals,4000,3087,47.2,2267.4,1431
878,Vista Outdoor,VSTO,Business Services,"Toys, Sporting Goods",7000,3079.8,-9.7,2798.9,1906
879,Designer Brands,DBI,Retailing,Specialty Retailers: Apparel,14000,3075,29.1,2076.2,626
880,Rollins,ROL,Business Services,Diversified Outsourcing Services,19031,3073.3,435,2595.5,22419
881,Advanced Drainage Systems,WMS,Materials,"Building Materials, Glass",5870,3071.1,507.1,2901.1,13369
882,Cinemark Holdings,CNK,Media,Entertainment,17888,3066.7,188.2,4836.8,2188
883,CrowdStrike,CRWD,Technology,Computer Software,7925,3055.6,89.3,6646.5,77541
884,Pinterest,PINS,Technology,Internet Services and Retailing,4014,3055.1,-35.6,3594.4,23540
885,Instacart,CART,Retailing,Internet Services and Retailing,3380,3042,-1622,4727,9938
886,Hillenbrand,HI,Industrials,Industrial Machinery,10400,3039.7,569.7,5547.7,3528
887,Allison Transmission Holdings,ALSN,Motor Vehicles & Parts,Motor Vehicles & Parts,3700,3035,673,5025,7111
888,RH,RH,Retailing,Specialty Retailers: Other,5645,3029.1,127.6,4143.9,6379
889,Brookdale Senior Living,BKD,Health Care,Health Care: Medical Facilities,30600,3015.8,-189,5573.4,1252
890,QuidelOrtho,QDEL,Health Care,Medical Products and Equipment,7100,2997.8,-10.1,8563.1,3205
891,Trinity Industries,TRN,Transportation,Transportation Equipment,9480,2983.3,106,8906.5,2280
