Rank,Company,Sector,Employees,Revenues,Profits,Assets_M,CEO,Country,HeadquartersCity,HeadquartersState,Website,CompanyType,MarketCap
1,Walmart,Retailing,,,15511,252399,C. Douglas McMillon,U.S.,Bentonville,Arkansas,https://www.stock.walmart.com,Public,559911
2,Amazon,,1525000,574785,,527854,Andrew R. Jassy,U.S.,Seattle,Washington,https://www.amazon.com,Public,-
3,Apple,Technology,,383285,96995,352583,Timothy D. Cook,U.S.,Cupertino,California,https://www.apple.com,Public,3594309
4,UnitedHealth Group,,440000,371622,22381,273720,Andrew P. Witty,U.S.,Minnetonka,Minnesota,https://www.unitedhealthgroup.com,Public,474339
5,Berkshire Hathaway,Financials,396500,364482,96223,1069978,Warren E. Buffett,U.S.,Omaha,Nebraska,https://www.berkshirehathaway.com,Public,937028
6,CVS Health,Health Care,259500,357776,8344,249728,Karen S. Lynch,U.S.,Woonsocket,Rhode Island,https://www.cvshealth.com,Public,73653
7,Exxon Mobil,Energy,61500,344582,36010,376317,Darren W. Woods,U.S.,Spring,Texas,https://www.exxonmobil.com,Public,516824
8,Alphabet,Technology,182502,307394,73795,402392,Sundar Pichai,U.S.,Mountain View,California,https://www.abc.xyz,Public,2315182
9,McKesson,Health Care,48000,276711,3560,62320,Brian S. Tyler,U.S.,Irving,Texas,https://www.mckesson.com,Public,75007
10,Cencora,Health Care,44000,262173.4,1745.3,62558.7,Steven H. Collis,U.S.,Conshohocken,Pennsylvania,https://www.cencora.com,Public,43758
11,Costco Wholesale,Retailing,316000,242290,6292,68994,Ron M. Vachris,U.S.,Issaquah,Washington,https://www.costco.com,Public,376272
12,JPMorgan Chase,Financials,309926,239425,49552,3875393,James Dimon,U.S.,New York,New York,https://www.jpmorganchase.com,Public,603194
13,Microsoft,Technology,221000,211915,72361,411976,Satya Nadella,U.S.,Redmond,Washington,https://www.microsoft.com,Public,3373970
14,Cardinal Health,Health Care,47520,205012,261,43417,Jason M. Hollar,U.S.,Dublin,Ohio,https://www.cardinalhealth.com,Public,22832
15,Chevron,Energy,45600,200949,21369,261632,Michael K. Wirth,U.S.,San Ramon,California,https://www.chevron.com,Public,291950
16,Cigna,Health Care,71413,195265,5164,152761,David M. Cordani,U.S.,Bloomfield,Connecticut,https://www.thecignagroup.com,Public,94148
17,Ford Motor,Motor Vehicles & Parts,177000,176191,4347,273310,James D. Farley Jr.,U.S.,Dearborn,Michigan,https://www.ford.com,Public,56811
18,Bank of America,Financials,212985,171912,26515,3180151,Brian T. Moynihan,U.S.,Charlotte,North Carolina,https://www.bankofamerica.com,Public,327595
19,General Motors,Motor Vehicles & Parts,163000,171842,10127,273064,Mary T. Barra,U.S.,Detroit,Michigan,https://www.gm.com,Public,56222
20,Elevance Health,Health Care,104900,171340,5987,108928,Gail K. Boudreaux,U.S.,Indianapolis,Indiana,https://www.elevancehealth.com,Public,123335
21,Citigroup,Financials,237925,156820,9228,2411834,Jane Fraser,U.S.,New York,New York,https://www.citigroup.com,Public,124251
22,Centene,Health Care,67700,153999,2702,84641,Sarah M. London,U.S.,St. Louis,Missouri,https://www.centene.com,Public,35221
23,Home Depot,Retailing,463100,152669,15143,76530,Edward P. Decker,U.S.,Atlanta,Georgia,https://www.homedepot.com,Public,355454
24,Marathon Petroleum,Energy,18200,150307,9681,85987,Maryann T. Mannen,U.S.,Findlay,Ohio,https://www.marathonpetroleum.com,Public,58737
25,Kroger,Food & Drug Stores,414000,150039,2164,50505,W. Rodney McMullen,U.S.,Cincinnati,Ohio,https://www.thekrogerco.com,Public,37620
26,Phillips 66,Energy,14000,149890,7015,75501,Mark E. Lashier,U.S.,Houston,Texas,https://www.phillips66.com,Public,59383
27,Fannie Mae,Financials,8100,141240,17408,4325437,Priscilla Almodovar,U.S.,Washington,District Of Columbia,https://www.fanniemae.com,Public,8585
28,Walgreens Boots Alliance,Food & Drug Stores,268500,139081,-3080,96628,Timothy Wentworth,U.S.,Deerfield,Illinois,https://www.walgreensbootsalliance.com,Public,10100
29,Valero Energy,Energy,9897,139001,8835,63056,R. Lane Riggs,U.S.,San Antonio,Texas,https://www.valero.com,Public,48641
30,Meta Platforms,Technology,67317,134902,39098,229623,Mark Zuckerberg,U.S.,Menlo Park,California,https://investor.fb.com,Public,1258678
31,Verizon Communications,Telecommunications,105400,133974,11614,380255,Hans E. Vestberg,U.S.,New York,New York,https://www.verizon.com,Public,171696
32,AT&T,Telecommunications,150470,122428,14400,407060,John T. Stankey,U.S.,Dallas,Texas,https://www.att.com,Public,133222
33,Comcast,Telecommunications,186000,121572,15388,264811,Brian L. Roberts,U.S.,Philadelphia,Pennsylvania,https://www.comcastcorporation.com,Public,152786
34,Wells Fargo,Financials,226000,115340,19142,1932468,Charles W. Scharf,U.S.,San Francisco,California,https://www.wellsfargo.com,Public,201265
35,Goldman Sachs Group,Financials,45300,108418,8516,1641594,David M. Solomon,U.S.,New York,New York,https://www.goldmansachs.com,Public,164412
36,Freddie Mac,Financials,8020,108050,10538,3280976,Michael T. Hutchins,U.S.,McLean,Virginia,https://www.freddiemac.com,Public,4528
37,Target,Retailing,415000,107412,4138,55356,Brian C. Cornell,U.S.,Minneapolis,Minnesota,https://www.target.com,Public,69997
38,Humana,Health Care,67600,106374,2489,47065,James A. Rechtin,U.S.,Louisville,Kentucky,https://www.humana.com,Public,46298
39,State Farm Insurance,Financials,65054,104198.6,-6272.3,339484.7,Michael L. Tipsord,U.S.,Bloomington,Illinois,https://www.statefarm.com,Private,
40,Tesla,Motor Vehicles & Parts,140473,96773,14997,106618,Elon Musk,U.S.,Austin,Texas,https://www.tesla.com,Public,805719
41,Morgan Stanley,Financials,80006,96194,9087,1193693,Edward N. Pick,U.S.,New York,New York,https://www.morganstanley.com,Public,171065
42,Johnson & Johnson,Health Care,131900,95195,35153,167558,Joaquin Duato,U.S.,New Brunswick,New Jersey,https://www.jnj.com,Public,359173
43,Archer Daniels Midland,"Food, Beverages & Tobacco",41008,93935,3483,54631,Juan R. Luciano,U.S.,Chicago,Illinois,https://www.adm.com,Public,31347
44,PepsiCo,"Food, Beverages & Tobacco",318000,91471,9074,100495,Ramon L. Laguarta,U.S.,Purchase,New York,https://www.pepsico.com,Public,225074
45,United Parcel Service,Transportation,382550,90958,6708,70857,Carol B. Tom?,U.S.,Atlanta,Georgia,https://www.ups.com,Public,123329
46,FedEx,Transportation,446400,90155,3972,87143,Rajesh Subramaniam,U.S.,Memphis,Tennessee,https://www.fedex.com,Public,74517
47,Walt Disney,Media,199125,88898,2354,205579,Robert A. Iger,U.S.,Burbank,California,https://www.thewaltdisneycompany.com,Public,176598
48,Dell Technologies,Technology,120000,88425,3211,82089,Michael S. Dell,U.S.,Round Rock,Texas,https://www.delltechnologies.com/,Public,97331
49,Lowe's,Retailing,226000,86377,7726,41795,Marvin R. Ellison,U.S.,Mooresville,North Carolina,https://www.lowes.com,Public,132299
50,Procter & Gamble,Household Products,107000,82006,14653,120829,Jon R. Moeller,U.S.,Cincinnati,Ohio,https://www.pginvestor.com,Public,388431
51,Energy Transfer,Energy,13786,78586,3935,113698,Thomas E. Long/Marshall S. McCrea III,U.S.,Dallas,Texas,https://www.energytransfer.com,Public,55235
52,Boeing,Aerospace & Defense,171000,77794,-2222,137012,Kelly K. Ortberg,U.S.,Arlington,Virginia,https://www.boeing.com,Public,109953
53,Albertsons,Food & Drug Stores,198650,77649.7,1513.5,26168.2,Vivek Sankaran,U.S.,Boise,Idaho,https://www.albertsonscompanies.com,Public,11333
54,Sysco,Wholesalers,71750,76324.7,1770.1,22821.1,Kevin P. Hourican,U.S.,Houston,Texas,https://www.sysco.com,Public,35755
55,RTX,Aerospace & Defense,185000,68920,3195,161869,Christopher T. Calio,U.S.,Arlington,Virginia,https://www.rtx.com,Public,135104
56,General Electric,Industrials,125000,67954,9481,163045,H. Lawrence Culp Jr.,U.S.,Boston,Massachusetts,https://www.ge.com,Public,174655
57,Lockheed Martin,Aerospace & Defense,122000,67571,6920,52456,James D. Taiclet Jr.,U.S.,Bethesda,Maryland,https://www.lockheedmartin.com,Public,111303
58,American Express,Financials,74600,67364,8374,261108,Stephen J. Squeri,U.S.,New York,New York,https://www.americanexpress.com,Public,175510
59,Caterpillar,Industrials,113200,67060,10335,87476,D. James Umpleby III,U.S.,Irving,Texas,https://www.caterpillar.com,Public,169100
60,MetLife,Financials,45000,66905,1578,687584,Michel A. Khalaf,U.S.,New York,New York,https://www.metlife.com,Public,52929
61,HCA Healthcare,Health Care,265000,64968,5242,56211,Samuel N. Hazen,U.S.,Nashville,Tennessee,https://www.hcahealthcare.com,Public,83022
62,Progressive,Financials,61432,62108.5,3902.4,88690.8,Susan Patricia  Griffith,U.S.,Mayfield Village,Ohio,https://www.progressive.com,Public,127155
63,IBM,Technology,296600,61860,7502,135241,Arvind Krishna,U.S.,Armonk,New York,https://www.ibm.com,Public,167994
64,Deere,Industrials,82956,61251,10166,104087,John C. May,U.S.,Moline,Illinois,https://www.deere.com,Public,102421
65,Nvidia,Technology,29600,60922,29760,65728,Jensen Huang,U.S.,Santa Clara,California,https://www.nvidia.com,Public,3159624
66,StoneX Group,Financials,4137,60856.1,238.5,21938.7,Sean M. O'Connor,U.S.,New York,New York,https://www.stonex.com,Public,2516
67,Merck,Health Care,71000,60115,365,106675,Robert M. Davis,U.S.,Rahway,New Jersey,https://www.merck.com,Public,324503
68,ConocoPhillips,Energy,9900,58574,10957,95924,Ryan M. Lance,U.S.,Houston,Texas,https://www.conocophillips.com,Public,133994
69,Pfizer,Health Care,88000,58496,2119,226501,Albert Bourla,U.S.,New York,New York,https://www.pfizer.com,Public,164898
70,Delta Air Lines,Transportation,103000,58048,4609,73644,Edward H. Bastian,U.S.,Atlanta,Georgia,https://www.delta.com,Public,27753
71,TD Synnex,Wholesalers,28000,57555.4,626.9,29412.8,Patrick  Zammit/Richard T. Hume,U.S.,Fremont,California,https://www.tdsynnex.com,Public,9836
72,Publix Super Markets,Food & Drug Stores,253000,57534,4349,34384,Kevin S. Murphy,U.S.,Lakeland,Florida,https://www.publix.com,Private,
73,Allstate,Financials,53200,57094,-188,103362,Thomas J. Wilson,U.S.,Northbrook,Illinois,https://www.allstate.com,Public,44050
74,Cisco Systems,Technology,84900,56998,12613,101852,Charles H. Robbins,U.S.,San Jose,California,https://www.cisco.com,Public,191932
75,Nationwide,Financials,24118,54609.4,-45.2,290615,Kirt A. Walker,U.S.,Columbus,Ohio,https://www.nationwide.com,Private,
76,Charter Communications,Telecommunications,101100,54607,4557,147193,Christopher L. Winfrey,U.S.,Stamford,Connecticut,https://www.charter.com,Public,52350
77,AbbVie,Health Care,50000,54318,4863,134711,Robert A. Michael,U.S.,North Chicago,Illinois,https://www.abbvie.com,Public,296719
78,New York Life Insurance,Financials,15384,54317.2,804.6,408904.9,Craig DeSanto,U.S.,New York,New York,https://www.newyorklife.com,Private,
79,Intel,Technology,124800,54228,1689,191572,Patrick P. Gelsinger,U.S.,Santa Clara,California,https://www.intel.com,Public,146692
80,TJX,Retailing,349000,54217,4474,29747,Ernie L. Herrman,U.S.,Framingham,Massachusetts,https://www.tjx.com,Public,128622
81,Prudential Financial,Financials,40366,53979,2488,721123,Charles F. Lowrey,U.S.,Newark,New Jersey,https://www.prudential.com,Public,45069
82,HP,Technology,58000,53718,3263,37004,Enrique J. Lores,U.S.,Palo Alto,California,https://www.hp.com,Public,36539
83,United Airlines Holdings,Transportation,103300,53717,2618,71104,J. Scott Kirby,U.S.,Chicago,Illinois,https://www.united.com,Public,14573
84,Performance Food Group,Wholesalers,34825,53354.7,397.2,12499,George L. Holm,U.S.,Richmond,Virginia,https://www.pfgc.com,Public,9951
85,Tyson Foods,"Food, Beverages & Tobacco",139000,52881,-648,36251,Donnie D. King,U.S.,Springdale,Arkansas,https://www.tysonfoods.com,Public,20461
86,American Airlines Group,Transportation,132100,52788,822,63058,Robert D. Isom,U.S.,Fort Worth,Texas,https://www.aa.com,Public,6947
87,Liberty Mutual Insurance Group,Financials,45000,52612,213,165208,Timothy M. Sweeney,U.S.,Boston,Massachusetts,https://www.libertymutual.com,Private,
88,Nike,Apparel,83700,51217,5070,37531,John J. Donahoe II,U.S.,Beaverton,Oregon,https://investors.nike.com,Public,107632
89,Oracle,Technology,164000,49954,8503,134384,Safra A. Catz,U.S.,Austin,Texas,https://www.oracle.com,Public,394281
90,Enterprise Products Partners,Energy,7500,49715,5532,70982,A. James Teague/W. Randall Fowler,U.S.,Houston,Texas,https://www.enterpriseproducts.com,Public,64278
91,Capital One Financial,Financials,51987,49484,4887,478464,Richard D. Fairbank,U.S.,McLean,Virginia,https://www.capitalone.com,Public,55230
92,Plains GP Holdings,Energy,4200,48712,198,28597,Wilfred C.W. Chiang,U.S.,Houston,Texas,https://www.plains.com,Public,3862
93,World Kinect,Energy,5289,47710.6,52.9,7375.3,Michael J. Kasbar,U.S.,Miami,Florida,https://www.world-kinect.com,Public,1579
94,AIG,Financials,25200,46802,3643,539306,Peter S. Zaffino,U.S.,New York,New York,https://www.aig.com,Public,51514
95,Coca-Cola,"Food, Beverages & Tobacco",79100,45754,10714,97703,James R. Quincey,U.S.,Atlanta,Georgia,https://www.coca-colacompany.com,Public,273167
96,TIAA,Financials,16023,45734.8,-1408.9,629369.9,Thasunda Brown Duckett,U.S.,New York,New York,https://www.tiaa.org,Private,
97,CHS,"Food, Beverages & Tobacco",10609,45590,1900.4,18957.4,Jay D. Debertin,U.S.,Inver Grove Heights,Minnesota,https://www.chsinc.com,Private,
98,Bristol-Myers Squibb,Health Care,34100,45006,8025,95159,Christopher S. Boerner,U.S.,Princeton,New Jersey,https://www.bms.com,Public,81388
99,Dow,Chemicals,35900,44622,589,57967,James R. Fitterling,U.S.,Midland,Michigan,https://www.dow.com,Public,37463
100,Best Buy,Retailing,85000,43452,1241,14967,Corie S. Barry,U.S.,Richfield,Minnesota,https://www.investors.bestbuy.com,Public,18444
101,Thermo Fisher Scientific,Technology,122000,42857,5995,98726,Marc N. Casper,U.S.,Waltham,Massachusetts,https://www.thermofisher.com,Public,207913
102,Massachusetts Mutual Life Insurance,Financials,11323,42641.4,-771.6,397895,Roger W. Crandall,U.S.,Springfield,Massachusetts,https://www.massmutual.com,Private,
103,USAA,Financials,37376,42493.4,1213.5,211637.6,Wayne Peacock,U.S.,San Antonio,Texas,https://www.usaa.com,Private,
104,General Dynamics,Aerospace & Defense,111600,42272,3315,54810,Phebe N. Novakovic,U.S.,Reston,Virginia,https://www.gd.com,Public,78309
105,Travelers,Financials,33133,41364,2991,125978,Alan D. Schnitzer,U.S.,New York,New York,https://www.travelers.com,Public,48867
106,Warner Bros. Discovery,Media,35300,41321,-3126,122757,David M. Zaslav,U.S.,New York,New York,https://wbd.com,Public,18181
107,U.S. Bancorp,Financials,75465,40624,5429,663491,Andrew J. Cecere,U.S.,Minneapolis,Minnesota,https://www.usbank.com,Public,66086
108,Abbott Laboratories,Health Care,114000,40109,5723,73214,Robert B. Ford,U.S.,Abbott Park,Illinois,https://www.abbott.com,Public,179113
109,Northrop Grumman,Aerospace & Defense,101000,39290,2056,46544,Kathy J. Warden,U.S.,Falls Church,Virginia,https://www.northropgrumman.com,Public,63920
110,Northwestern Mutual,Financials,8239,38788.1,711.4,358828.6,John E. Schlifske,U.S.,Milwaukee,Wisconsin,https://www.northwesternmutual.com,Private,
111,Dollar General,Retailing,185800,38691.6,1661.3,30795.6,Todd J. Vasos,U.S.,Goodlettsville,Tennessee,https://www.dollargeneral.com,Public,27918
112,PBF Energy,Energy,3776,38324.8,2140.5,14387.8,Matthew C. Lucey,U.S.,Parsippany,New Jersey,https://www.pbfenergy.com,Public,4790
113,Uber Technologies,Technology,30400,37281,1887,38699,Dara Khosrowshahi,U.S.,San Francisco,California,https://www.uber.com,Public,151051
114,Honeywell International,Industrials,95000,36662,5658,61525,Vimal Kapur,U.S.,Charlotte,North Carolina,https://www.honeywell.com,Public,140474
115,Mondelez International,"Food, Beverages & Tobacco",91000,36016,4959,71391,Dirk Van de Put,U.S.,Chicago,Illinois,https://www.mondelezinternational.com,Public,86317
116,Starbucks,"Hotels, Restaurants & Leisure",381000,35975.6,4124.5,29445.5,Rachel Ruggeri,U.S.,Seattle,Washington,https://www.starbucks.com,Public,82404
117,Qualcomm,Technology,50000,35820,7232,51040,Cristiano R. Amon,U.S.,San Diego,California,https://www.qualcomm.com,Public,232329
118,Broadcom,Technology,20000,35819,14082,72861,Hock E. Tan,U.S.,Palo Alto,California,https://www.broadcom.com,Public,797940
119,US Foods Holding,Wholesalers,30000,35597,506,13187,David E. Flitman,U.S.,Rosemont,Illinois,https://www.usfoods.com,Public,12829
120,D.R. Horton,Engineering & Construction,13450,35460.4,4745.7,32582.4,Paul J. Romanowski,U.S.,Arlington,Texas,https://www.drhorton.com,Public,50108
121,Philip Morris International,"Food, Beverages & Tobacco",82700,35174,7813,65304,Jacek Olczak,U.S.,Stamford,Connecticut,https://www.pmi.com,Public,163337
122,Paccar,Motor Vehicles & Parts,32400,35127.4,4600.8,40823.4,R. Preston Feight,U.S.,Bellevue,Washington,https://www.paccar.com,Public,54799
123,Salesforce,Technology,72682,34857,4136,99823,Marc R. Benioff,U.S.,San Francisco,California,https://www.salesforce.com,Public,245021
124,Nucor,Materials,32000,34713.5,4524.8,35340.5,Leon J. Topalian,U.S.,Charlotte,North Carolina,https://www.nucor.com,Public,39530
125,Jabil,Technology,236000,34702,818,19424,Michael K. Dastoor,U.S.,St. Petersburg,Florida,https://www.jabil.com,Public,13080
126,Lennar,Engineering & Construction,12284,34233.4,3938.5,39234.3,Jonathan M. Jaffe/Stuart A. Miller,U.S.,Miami,Florida,https://www.lennar.com,Public,43389
127,Eli Lilly,Health Care,43000,34124.1,5240.4,64006.3,David A. Ricks,U.S.,Indianapolis,Indiana,https://www.lilly.com,Public,903322
128,Molina Healthcare,Health Care,18000,34072,1091,14892,Joseph M. Zubretsky,U.S.,Long Beach,California,https://www.molinahealthcare.com,Public,16755
129,Cummins,Industrials,75500,34065,735,32005,Jennifer Rumsey,U.S.,Columbus,Indiana,https://www.cummins.com,Public,39520
130,Bank of New York Mellon,Financials,53400,33805,3286,409953,Robin Vince,U.S.,New York,New York,https://www.bnymellon.com,Public,49139
131,Netflix,Media,13000,33723.3,5408,48732,Ted Sarandos/Gregory K. Peters,U.S.,Los Gatos,California,https://www.netflix.com,Public,282865
132,Truist Financial,Financials,49935,33246,-1091,535349,William H. Rogers Jr.,U.S.,Charlotte,North Carolina,https://www.truist.com,Public,55397
133,Arrow Electronics,Wholesalers,22100,33107.1,903.5,21726.2,Sean J. Kerins,U.S.,Centennial,Colorado,https://www.arrow.com,Public,6525
134,3M,Chemicals,85000,32681,-6995,50580,William M. Brown,U.S.,St. Paul,Minnesota,https://www.3m.com,Public,56841
135,Visa,Business Services,28800,32653,17273,90499,Ryan McInerney,U.S.,San Francisco,California,https://www.visa.com,Public,551134
136,Apollo Global Management,Financials,6855,32644,5047,313488,Marc Rowan,U.S.,New York,New York,https://www.apollo.com,Public,69703
137,HF Sinclair,Energy,5218,31964.4,1589.7,17716.3,Tim Go,U.S.,Dallas,Texas,https://www.hfsinclair.com,Public,11988
138,CBRE Group,Financials,130000,31949,986,22548,Robert E. Sulentic,U.S.,Dallas,Texas,https://www.cbre.com,Public,29726
139,PNC Financial Services Group,Financials,55612,31882,5578,561580,William S. Demchak,U.S.,Pittsburgh,Pennsylvania,https://www.pnc.com,Public,64292
140,Lithia Motors,Retailing,25051,31310.9,1000.8,19632.5,Bryan B. DeBoer,U.S.,Medford,Oregon,https://investors.lithiadriveway.com,Public,8283
141,CarMax,Retailing,30621,31126.4,484.8,26182.7,William D. Nash,U.S.,Richmond,Virginia,https://www.carmax.com,Public,13757
142,Paramount Global,Media,24150,30610,-608,53543,George Cheeks/Chris McCarthy/Brian Robbins,U.S.,New York,New York,https://www.paramount.com,Public,8099
143,Dollar Tree,Retailing,138860,30603.8,-998.4,22023.5,Richard W. Dreiling,U.S.,Chesapeake,Virginia,https://www.dollartree.com,Public,29024
144,United Natural Foods,Wholesalers,29455,30272,24,7394,Sandy Douglas,U.S.,Providence,Rhode Island,https://www.unfi.com,Public,683
145,PayPal Holdings,Business Services,27200,29771,4246,82166,Alex Chriss,U.S.,San Jose,California,https://www.paypal.com,Public,71796
146,Penske Automotive Group,Retailing,28000,29527.4,1053.2,15671.5,Roger S. Penske,U.S.,Bloomfield Hills,Michigan,https://www.penskeautomotive.com,Public,10861
147,Hewlett Packard Enterprise,Technology,62000,29135,2025,57153,Antonio F. Neri,U.S.,Spring,Texas,https://www.hpe.com,Public,23049
148,Duke Energy,Energy,27037,28932,2841,176893,Lynn J. Good,U.S.,Charlotte,North Carolina,https://www.duke-energy.com,Public,74608
149,Occidental Petroleum,Energy,12570,28918,4696,74008,Vicki A. Hollub,U.S.,Houston,Texas,https://www.oxy.com,Public,57611
150,NRG Energy,Energy,18131,28823,-202,26038,Lawrence S. Coben,U.S.,Houston,Texas,https://www.nrg.com,Public,14535
151,Amgen,Health Care,26700,28190,6717,97154,Robert A. Bradway,U.S.,Thousand Oaks,California,https://www.amgen.com,Public,152373
152,NextEra Energy,Energy,16800,28114,7310,177489,John W. Ketchum,U.S.,Juno Beach,Florida,https://www.nexteraenergy.com,Public,131171
153,Danaher,Health Care,62000,27602,4764,84488,Rainer M. Blair,U.S.,Washington,District Of Columbia,https://www.danaher.com,Public,184929
154,Gilead Sciences,Health Care,18000,27116,5665,62125,Daniel P. O'Day,U.S.,Foster City,California,https://www.gilead.com,Public,91341
155,AutoNation,Retailing,25300,26948.9,1021.1,11980,Michael M. Manley,U.S.,Fort Lauderdale,Florida,https://www.autonation.com,Public,6902
156,Kraft Heinz,"Food, Beverages & Tobacco",36000,26640,2855,90339,Carlos Abrams-Rivera,U.S.,Chicago,Illinois,https://www.kraftheinzcompany.com,Public,44857
157,Avnet,Wholesalers,15800,26536.9,770.8,12477.2,Philip R. Gallagher,U.S.,Phoenix,Arizona,https://www.avnet.com,Public,4480
158,Applied Materials,Technology,34000,26517,6856,30729,Gary E. Dickerson,U.S.,Santa Clara,California,https://www.appliedmaterials.com,Public,171356
159,Southwest Airlines,Transportation,74806,26091,465,36487,Robert E. Jordan,U.S.,Dallas,Texas,https://www.southwest.com,Public,17417
160,Charles Schwab,Financials,33000,25521,5067,493178,Walter W. Bettinger II,U.S.,Westlake,Texas,https://www.aboutschwab.com,Public,131975
161,Baker Hughes,Energy,58000,25506,1943,36945,Lorenzo Simonelli,U.S.,Houston,Texas,https://www.bakerhughes.com,Public,33530
162,McDonald's,"Hotels, Restaurants & Leisure",150000,25493.7,8468.8,56146.8,Christopher J. Kempczinski,U.S.,Chicago,Illinois,https://www.investor.mcdonalds.com,Public,203582
163,Southern Company,Energy,27960,25253,3976,139331,Christopher C. Womack,U.S.,Atlanta,Georgia,https://www.southerncompany.com,Public,78269
164,Mastercard,Business Services,33400,25098,11195,42448,Michael Miebach,U.S.,Purchase,New York,https://www.mastercard.com,Public,449253
165,Constellation Energy,Energy,13842,24918,1623,50758,Joseph Dominguez,U.S.,Baltimore,Maryland,https://www.constellationenergy.com,Public,58250
166,Hartford Financial Services Group,Financials,18700,24527,2504,76780,Christopher J. Swift,U.S.,Hartford,Connecticut,https://www.thehartford.com,Public,30637
167,PG&E,Energy,28010,24428,2242,125698,Patricia K. Poppe,U.S.,Oakland,California,https://www.pgecorp.com,Public,35760
168,Coupang,Retailing,78000,24383,1360,13346,Bom Kim,U.S.,Seattle,Washington,https://www.aboutcoupang.com,Public,31903
169,EOG Resources,Energy,3050,24186,7594,43857,Ezra Y. Yacob,U.S.,Houston,Texas,https://www.eogresources.com,Public,73536
170,Union Pacific,Transportation,32973,24119,6379,67132,Jim Vena,U.S.,Omaha,Nebraska,https://www.up.com,Public,150041
171,Rite Aid,Food & Drug Stores,47000,24091.9,-749.9,7527.4,Jeffrey S. Stein,U.S.,Philadelphia,Pennsylvania,https://www.riteaid.com,Public,9
172,Macy's,Retailing,85581,23866,105,16246,Tony Spring,U.S.,New York,New York,https://www.macysinc.com,Public,5483
173,Marriott International,"Hotels, Restaurants & Leisure",148000,23713,3083,25674,Anthony G. Capuano,U.S.,Bethesda,Maryland,https://www.marriott.com,Public,72731
174,Lear,Motor Vehicles & Parts,186600,23466.9,572.5,14695.5,Raymond E. Scott,U.S.,Southfield,Michigan,https://www.lear.com,Public,8263
175,Genuine Parts,Wholesalers,60000,23090.6,1316.5,17968.5,William P. Stengel II,U.S.,Atlanta,Georgia,https://www.genpt.com,Public,21601
176,Sherwin-Williams,Chemicals,64088,23051.9,2388.8,22954.4,Heidi G. Petz,U.S.,Cleveland,Ohio,https://www.sherwin.com,Public,88255
177,Halliburton,Energy,48000,23018,2638,24683,Jeffrey A. Miller,U.S.,Houston,Texas,https://www.halliburton.com,Public,35088
178,Freeport-McMoRan,Energy,27200,22855,1848,52506,Kathleen L. Quirk,U.S.,Phoenix,Arizona,https://www.fcx.com,Public,67446
179,Live Nation Entertainment,Media,23200,22749.1,563.3,19074,Michael Rapino,U.S.,Beverly Hills,California,https://www.livenationentertainment.com,Public,24412
180,Marsh & McLennan,Financials,85000,22736,3756,48030,John Q. Doyle,U.S.,New York,New York,https://www.marshmclennan.com,Public,101658
181,Advanced Micro Devices,Technology,26000,22680,854,67885,Lisa T. Su,U.S.,Santa Clara,California,https://www.amd.com,Public,291697
182,First Citizens BancShares,Financials,15868,22466,11466,213758,Frank B. Holding Jr.,U.S.,Raleigh,North Carolina,https://www.firstcitizens.com,Public,23620
183,WESCO International,Wholesalers,20000,22385.2,765.5,15060.9,John J. Engel,U.S.,Pittsburgh,Pennsylvania,https://www.wesco.com,Public,8727
184,Carrier Global,Industrials,53000,22098,1349,32822,David L. Gitlin,U.S.,Palm Beach Gardens,Florida,https://www.corporate.carrier.com,Public,52323
185,Cleveland-Cliffs,Materials,28000,21996,399,17537,Lourenco Goncalves,U.S.,Cleveland,Ohio,https://www.clevelandcliffs.com,Public,11331
186,Block,Business Services,12985,21915.6,9.8,34069.9,Jack Dorsey,U.S.,Oakland,California,https://www.block.xyz,Public,52075
187,Exelon,Energy,19962,21727,2328,101546,Calvin G. Butler Jr.,U.S.,Chicago,Illinois,https://www.exeloncorp.com,Public,37560
188,KKR,Financials,4490,21685.3,3732.3,317294.2,Joseph Y. Bae/Scott C. Nuttall,U.S.,New York,New York,https://www.kkr.com,Public,89014
189,CDW,Technology,15100,21376,1104.3,13284.6,Christine A. Leahy,U.S.,Vernon Hills,Illinois,https://www.cdw.com,Public,34330
190,Booking Holdings,Technology,23482,21365,4289,24342,Glenn D. Fogel,U.S.,Norwalk,Connecticut,https://www.bookingholdings.com,Public,123968
191,Synchrony,Financials,20000,20999,2238,117479,Brian D. Doubles,U.S.,Stamford,Connecticut,https://www.synchrony.com,Public,17543
192,Quanta Services,Engineering & Construction,52500,20882.2,744.7,16237.2,Earl C. Austin Jr.,U.S.,Houston,Texas,https://www.quantaservices.com,Public,37866
193,Jones Lang LaSalle,Financials,106100,20760.8,225.4,16064.8,Christian Ulbrich,U.S.,Chicago,Illinois,https://www.jll.com,Public,9256
194,Discover Financial Services,Financials,21100,20606,2940,151522,J. Michael  Shepherd,U.S.,Riverwoods,Illinois,https://www.discover.com,Public,32847
195,Tenet Healthcare,Health Care,95905,20548,611,28312,Saumya Sutaria,U.S.,Dallas,Texas,https://www.tenethealth.com,Public,10511
196,Altria Group,"Food, Beverages & Tobacco",6400,20502,8130,38570,William F. Gifford Jr.,U.S.,Richmond,Virginia,https://www.altria.com,Public,76922
197,Stryker,Health Care,52000,20498,3165,39912,Kevin A. Lobo,U.S.,Portage,Michigan,https://www.stryker.com,Public,136159
