Rank,Company,Sector,Employees,Revenues,Profits,Assets_M,CEO,Country,HeadquartersCity,HeadquartersState,Website,CompanyType,MarketCap
743,Alliant Energy,Energy,3281,4027,703,21237,Lisa M. Barton,U.S.,Madison,Wisconsin,https://www.alliantenergy.com,Public,12908
744,Generac Holdings,Industrials,8458,4022.7,214.6,5093.3,Aaron P. Jagdfeld,U.S.,Waukesha,Wisconsin,https://www.generac.com,Public,7602
745,MSC Industrial Direct,Wholesalers,7254,4009.3,343.2,2544.1,Erik Gershwind,U.S.,Melville,New York,https://www.mscdirect.com,Public,5463
746,Rocket Companies,Financials,14700,4005.9,-15.5,19231.7,Varun Krishna,U.S.,Detroit,Michigan,https://www.rocketcompanies.com,Public,28891
747,Upbound Group,Retailing,12970,3992.4,-5.2,2721.4,Mitchell E. Fadel,U.S.,Plano,Texas,https://www.upbound.com,Public,1916
748,East West Bancorp,Financials,3206,3989.1,1161.2,69612.9,Dominic Ng,U.S.,Pasadena,California,https://www.eastwestbank.com,Public,11078
749,Hilton Grand Vacations,"Hotels, Restaurants & Leisure",15000,3978,313,8685,Mark D. Wang,U.S.,Orlando,Florida,https://www.hgv.com,Public,4945
750,Grocery Outlet Holding,Food & Drug Stores,949,3969.5,79.4,2969.6,Robert J. Sheedy Jr.,U.S.,Emeryville,California,https://www.groceryoutlet.com,Public,2856
751,Dentsply Sirona,Health Care,15000,3965,-132,7370,Simon D. Campion,U.S.,Charlotte,North Carolina,https://www.dentsplysirona.com,Public,6882
752,V2X,Aerospace & Defense,16000,3963.1,-22.6,3081.9,Jeremy Wensinger,U.S.,McLean,Virginia,https://www.gov2x.com,Public,1469
753,Crocs,Apparel,7030,3962.3,792.6,4643.8,Andrew Rees,U.S.,Broomfield,Colorado,https://www.crocs.com,Public,8700
754,Spectrum Brands Holdings,Household Products,3100,3961.3,1801.5,5258.4,David M. Maura,U.S.,Middleton,Wisconsin,https://www.spectrumbrands.com,Public,2695
755,Visteon,Motor Vehicles & Parts,10000,3954,486,2727,Sachin S. Lawande,U.S.,Van Buren Township,Michigan,https://www.visteon.com,Public,3233
756,Acuity Brands,Industrials,12200,3952.2,346,3408.5,Neil M. Ashe,U.S.,Atlanta,Georgia,https://www.acuitybrands.com,Public,8281
757,Greenbrier,Transportation,13800,3944,62.5,3978.4,Lorie L. Tekorius,U.S.,Lake Oswego,Oregon,https://www.gbrx.com,Public,1620
758,Webster Financial,Financials,4196,3942.6,867.8,74945.2,John R. Ciulla,U.S.,Stamford,Connecticut,https://investors.websterbank.com,Public,8710
759,Cabot,Chemicals,4268,3931,445,3604,Sean D. Keohane,U.S.,Boston,Massachusetts,https://www.cabotcorp.com,Public,5111
760,RXO,Transportation,7242,3927,4,1825,Drew M. Wilkerson,U.S.,Charlotte,North Carolina,https://www.rxo.com,Public,2561
761,Chord Energy,Energy,514,3896.6,1023.8,6926.2,Daniel E. Brown,U.S.,Houston,Texas,https://www.chordenergy.com,Public,7405
762,Popular,Financials,9088,3896,541.3,70758.2,Ignacio Alvarez,U.S.,Hato Rey,Puerto Rico,https://www.popular.com,Public,6368
763,Garrett Motion,Motor Vehicles & Parts,8650,3886,261,2527,Olivier Rabiller,U.S.,Plymouth,Michigan,https://www.garrettmotion.com,Public,2263
764,Tutor Perini,Engineering & Construction,8200,3880.2,-171.2,4429.9,Ronald N. Tutor,U.S.,Sylmar,California,https://www.tutorperini.com,Public,752
765,Copart,Retailing,12000,3869.5,1237.7,6737.9,Jeffrey Liaw,U.S.,Dallas,Texas,https://www.copart.com,Public,55688
766,Toast,Business Services,5500,3865,-246,1958,Aman Narang,U.S.,Boston,Massachusetts,https://www.toasttab.com,Public,13656
767,Align Technology,Health Care,21610,3862.3,445.1,6083.9,Joseph M. Hogan,U.S.,Tempe,Arizona,https://www.aligntech.com,Public,24628
768,A.O. Smith,Industrials,12000,3852.8,556.6,3213.9,Kevin J. Wheeler,U.S.,Milwaukee,Wisconsin,https://www.aosmith.com,Public,13156
769,TransUnion,Business Services,13200,3831.2,-206.2,11105.1,Christopher A. Cartwright,U.S.,Chicago,Illinois,https://www.transunion.com,Public,15500
770,NCR Voyix,Technology,15500,3830,-423,4990,David Wilkinson,U.S.,Atlanta,Georgia,https://ncrvoyix.com,Public,1822
771,Akamai Technologies,Technology,10281,3811.9,547.6,9900,F. Thomson Leighton,U.S.,Cambridge,Massachusetts,https://www.akamai.com,Public,16663
