code,current,name,gender,function,country,nationality,height,weight,disciplines,events,birth_date,birth_place,birth_country,residence_place,residence_country,nickname,hobbies,occupation,education,lang
1981479,TRUE,DIVKOVIC Patrik,Male,Athlete,Slovenia,Slovenia,0,0,['Taekwondo'],['Men +80kg'],1999-06-04,LJUBLJANA,Slovenia,LJUBLJANA,Slovenia,,,Army athlete,,"English, Slovenian"
1981480,TRUE,HRIBAR Peter,Male,Athlete,Slovenia,Slovenia,0,0,['Table Tennis'],"[""Men's Team""]",1999-11-12,,,SMARJESKE TOPLICE,Slovenia,,,"Athlete, sport soldier",,English
1981481,TRUE,KAUZER Peter,Male,Athlete,Slovenia,Slovenia,0,0,['Canoe Slalom'],"[""Men's Kayak Single"", ""Men's Kayak Cross""]",1983-09-08,HRASTNIK,Slovenia,HRASTNIK,Slovenia,"Pero, Kapsl","Snowboarding, surfing, cross-country skiing, badminton","Athlete, serves in the army","University of Sport, Ljubljana (SLO)","English, Slovene"
1981485,TRUE,BABNIK Pia,Female,Athlete,Slovenia,Slovenia,179,0,['Golf'],"[""Women's Individual Stroke Play""]",2004-01-02,LJUBLJANA,Slovenia,,Slovenia,,"Badminton, tennis, table tennis, skiing, swimming, yoga, drawing, painting",,,English
1981495,TRUE,MOZIC Rok,Male,Athlete,Slovenia,Slovenia,200,0,['Volleyball'],['Men'],2002-01-17,MARIBOR,Slovenia,,,,,Athlete,,"English, Slovenian"
1981502,TRUE,BOSKAN Saso,Male,Athlete,Slovenia,Slovenia,0,0,['Swimming'],"[""Men's 200m Freestyle""]",2002-12-12,,,KRANJ,Slovenia,,,,,
1981504,TRUE,STALEKAR Saso,Male,Athlete,Slovenia,Slovenia,214,0,['Volleyball'],['Men'],1996-05-03,SLOVENJ GRADEC,Slovenia,,,,"Chess, crossword puzzles, computer games",Athlete,,Slovenian
1981513,TRUE,JOVICIC Stas,Male,Athlete,Slovenia,Slovenia,188,0,['Handball'],['Men'],2000-12-06,SLOVENJ GRADEC,Slovenia,TRBNJE,Slovenia,,,Athlete,,Slovenian
1981519,TRUE,MAVSAR Tamara,Female,Athlete,Slovenia,Slovenia,173,0,['Handball'],['Women'],1991-04-01,LJUBLJANA,Slovenia,KRIM,Slovenia,,,Athlete,,Slovenian
1981521,TRUE,ZAKELJ Tanja,Female,Athlete,Slovenia,Slovenia,0,0,['Cycling Mountain Bike'],"[""Women's Cross-country""]",1988-09-15,KRANJ,Slovenia,IDRIJA,Slovenia,,,"Athlete, sport soldier",Studied Chemical Engineering at the University of Ljubljana (SLO),"English, Slovene"
1981530,TRUE,KODRIN Tilen,Male,Athlete,Slovenia,Slovenia,191,0,['Handball'],['Men'],1994-05-14,CELJE,Slovenia,GUMMERSBACH,Germany,,,Athlete,,"English, Slovenian"
1981537,TRUE,MRAK Tina,Female,Athlete,Slovenia,Slovenia,0,0,['Sailing'],['Mixed Dinghy'],1988-02-06,KOPER,Slovenia,PORTOROZ,Slovenia,,"Cycling, stand-up paddle boarding, running, snowboarding","Athlete, student",Sport Studies at University of Ljubljana (SLO),"Croatian, English, Italian, Slovene"
1981538,TRUE,SUTEJ Tina,Female,Athlete,Slovenia,Slovenia,174,0,['Athletics'],"[""Women's Pole Vault""]",1988-11-07,LJUBLJANA,Slovenia,CELJE,Slovenia,,,Armed forces athlete,"Biology at University of Arkansas, Fayetteville, AR, (USA)","English, Slovene"
1981540,TRUE,URNAUT Tine,Male,Athlete,Slovenia,Slovenia,200,0,['Volleyball'],['Men'],1988-09-03,SLOVENJ GRADEC,Slovenia,,,,,Athlete,Graduated with a degree from University of Ljubljana (SLO),Slovenian
1981546,TRUE,PINTAR Tjasa,Female,Athlete,Slovenia,Slovenia,0,0,['Swimming'],"[""Women's 4 x 100m Freestyle Relay"", 'Relay Only Athlete']",1997-02-15,KRANJ,Slovenia,"KNOXVILLE, TN",United States,,,"Athlete, coach","Graduated in 2023 with a Master's degree in Kinesiology and Exercise Science at University of Tennessee, Knoxville (USA).</p><p>Graduated in 2021 with a Bachelor's degree in Education Kinesiology at University of Tennessee, Knoxville (USA)",English
1981547,TRUE,STANKO Tjasa,Female,Athlete,Slovenia,Slovenia,173,0,['Handball'],['Women'],1997-11-05,MARIBOR,Slovenia,KRIM,Slovenia,,,Athlete,,"English, Slovenian"
1981548,TRUE,STERN Toncek,Male,Athlete,Slovenia,Slovenia,200,0,['Volleyball'],['Men'],1995-11-14,MARIBOR,Slovenia,,,,Playing saxophone,Athlete,,Slovenian
1981549,TRUE,VODISEK Toni,Male,Athlete,Slovenia,Slovenia,0,0,['Sailing'],"[""Men's Kite""]",2000-06-07,IZOLA,Slovenia,KOPER,Slovenia,,,Athlete. Also works in his family's hotel,,Slovenian
1981553,TRUE,LESJAK Urban,Male,Athlete,Slovenia,Slovenia,188,0,['Handball'],['Men'],1990-08-24,CELJE,Yugoslavia,BITOLA,North Macedonia,,,Athlete,,Slovenian
1981556,TRUE,KASTELIC Urh,Male,Athlete,Slovenia,Slovenia,202,0,['Handball'],['Men'],1996-02-27,BREZICE,Slovenia,LEMGO,Germany,,,Athlete,,Slovenian
